id,titol,tipus,descripcio,punts,resposta,nota
1,A Ginestar ceba i ... ?,trivia,Resposta en forrmat text: una sola paraula,2,pa,Resposta exacta numèrica
2,Quin any Ginestar va ser capital olímpica de Parxís?,trivia,Resposta en format numeric: AAAA,5,1992,Resposta exacta numèrica
3,Quin dia es va constituir la Cooperativa Lo Sindicat? ,trivia,Resposta en format numeric: DD-MM-AAAA,8,11-09-1918|11-9-1918,Resposta exacta data
4,De quin any és la façana del 52 del carrer de la creu?,trivia,Resposta en format numeric: AAAA,5,1934,Resposta exacta numèrica
5,Quina és la cinquena paraula del rètol del número 54 del carrer Reus?,trivia,Resposta en forrmat text: una sola paraula,5,MUSICA|MÚSICA,Resposta exacta text
6,Quina data mostra la limnimarca de la granja de Seno?,trivia,Resposta en format numeric: DD-MM-AAAA,8,08-10-1787|8-10-1787,Resposta exacta data
7,Quants til·lers té el passeig del riu?,trivia,Resposta en format numeric: XX,12,53|54,Resposta exacta numèrica
8,Quants pilans sostenen la coberta de la pista?,trivia,Resposta en format numeric: XX,8,12,Resposta exacta numèrica
9,A Ginestar fa segles es parlava d’una dona que coneixia remeis i encanteris. Com es deia la bruixa més famosa del poble?,trivia,Resposta en forrmat text: dos paraules,10,Montserrada Brú|Montserrada Bru,Resposta exacta text
10,Què hi diu a la rajola blanca de la façana de ca Valero?,trivia,Resposta en forrmat text: una sola paraula,10,ACCESORIOS,Resposta exacta numèrica
11,Quines dos incials té a la porta de ca Garbinada?,trivia,Resposta en forrmat text: dos lletres,10,JN|J N,Resposta exacta text
12,"Si trobes lo FATO, t'ho dirà",trivia,Resposta en forrmat text: una sola paraula,10,auverge|auberge,Resposta exacta text
13,Quin comerç hi havia als baixos de Cal Calderer?,trivia,Resposta en forrmat text: una sola paraula,10,farmacia|farmàcia|farmácia,Resposta exacta text
14,Què hi diu exactament a sota de l'arc d'entrada del Cementiri Municipal?,trivia,Resposta en forrmat text: tres paraules,12,Simó Sabaté Ars|Simo Sabate Ars|SIMO SABATE ARS,Resposta exacta text
15,Quantes finestres té el número 28 del carrer Nou de Ginestar?,trivia,Resposta en format numeric: X,10,0,Resposta exacta numèrica
16,De quin color és la cua de les sirenes de Ginestar?,trivia,Resposta en forrmat text: una sola paraula,10,verd|verda|verdes|verds|blau|blaves|turquesa|aiguamarina,Resposta exacta text
17,Quantes cases tenen número del pla del Pou?,trivia,Resposta en format numeric: X,10,9,Resposta exacta numèrica
18,L'església vella us dirà en quin segle Ginestar era conegut com l'Alquería de la Ginesta.,trivia,Resposta en format numeric: XX,10,XIII|13,Resposta text o numerica
19,Quina única lletra es llegeix encara amb claretat a l'estel·la romana incrustada a ca Sastrón?,trivia,Resposta en forrmat text: una lletra,12,N,Resposta exacta text
20,A l'església hi ha el nom de 5 persones. Quin és l'únic cognom repetit?,trivia,Resposta en forrmat text: una sola paraula,10,Escoda,Resposta exacta text
21,Quina frase diu la dona barbuda de Ginestar?,trivia,Resposta en forrmat text: tres paraules,12,Love is love,Resposta exacta text
22,En Petrixol diu que Ginestar és terra de?,trivia,Resposta en forrmat text: una sola paraula,10,sol,Resposta exacta text
23,Quines inicials hi han a dalt de tot del nínxol 11?,trivia,Resposta en forrmat text: tres lletres,12,FBC|F.B.C.|F B C|F. B. C.,Resposta exacta text
24,En quants idiomes donen la benvinguda els cartells de Benvinguda del poble?,trivia,Resposta en format numeric: X,12,5,Resposta exacta numèrica
25,Al final del carrer del poeta capellà quin arbre hi trobem?,trivia,Resposta en forrmat text: una sola paraula,12,ametler|ametller|aumetler|aumetller,Resposta exacta text
26,Quants aparells d'aire acondicionat hi han al carrer Clavé?,trivia,Resposta en format numeric: X,10,4,Resposta exacta numèrica
27,Quina és la velocitat màxima permesa al carrer Sant Vicent?,trivia,Resposta en format numeric: XX,10,30,Resposta exacta numèrica
28,Quina fatídica data està escrita a la placa de l'entrada del Refugi de Pontoners de l'antic pas de barca amb Benissanet?,trivia,Resposta en format numeric: DD-MM-AAAA,15,25-07-1938|25-7-1938,Resposta exacta data
29,Al final del carrer del rei de les quatre barres hi trobem a la dreta un gran arbre. Quina varietat és?,trivia,Resposta en forrmat text: una sola paraula,15,paulonia|paulownia|palonia|paulònia|paulòwnia|pawlonia|pawlònia,Resposta exacta text
30,Quants focs il·luminen el Canigó?,trivia,Resposta en format numeric: X,15,4,Resposta exacta numèrica
31,Dirigiu-vos a les 19:00 a l'església i espereu que siguin les 19:01. A les 19:02 s'acaba la Ginkana!,final_joc,Resposta en forrmat text: una sola paraula,50,gràcies|gracies,Prova de cloenda
